title,cast,genres,combined
jurassic world,Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson,Action Adventure Science Fiction Thriller,Action Adventure Science Fiction Thriller Chris Pratt Bryce Dallas Howard Irrfan Khan Vincent D'Onofrio Nick Robinson
mad max: fury road,Tom Hardy Charlize Theron Hugh Keays-Byrne Nicholas Hoult Josh Helman,Action Adventure Science Fiction Thriller,Action Adventure Science Fiction Thriller Tom Hardy Charlize Theron Hugh Keays-Byrne Nicholas Hoult Josh Helman
insurgent,Shailene Woodley Theo James Kate Winslet Ansel Elgort Miles Teller,Adventure Science Fiction Thriller,Adventure Science Fiction Thriller Shailene Woodley Theo James Kate Winslet Ansel Elgort Miles Teller
star wars: the force awakens,Harrison Ford Mark Hamill Carrie Fisher Adam Driver Daisy Ridley,Action Adventure Science Fiction Fantasy,Action Adventure Science Fiction Fantasy Harrison Ford Mark Hamill Carrie Fisher Adam Driver Daisy Ridley
furious 7,Vin Diesel Paul Walker Jason Statham Michelle Rodriguez Dwayne Johnson,Action Crime Thriller,Action Crime Thriller Vin Diesel Paul Walker Jason Statham Michelle Rodriguez Dwayne Johnson
the revenant,Leonardo DiCaprio Tom Hardy Will Poulter Domhnall Gleeson Paul Anderson,Western Drama Adventure Thriller,Western Drama Adventure Thriller Leonardo DiCaprio Tom Hardy Will Poulter Domhnall Gleeson Paul Anderson
terminator genisys,Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons,Science Fiction Action Thriller Adventure,Science Fiction Action Thriller Adventure Arnold Schwarzenegger Jason Clarke Emilia Clarke Jai Courtney J.K. Simmons
the martian,Matt Damon Jessica Chastain Kristen Wiig Jeff Daniels Michael PeÃ±a,Drama Adventure Science Fiction,Drama Adventure Science Fiction Matt Damon Jessica Chastain Kristen Wiig Jeff Daniels Michael PeÃ±a
minions,Sandra Bullock Jon Hamm Michael Keaton Allison Janney Steve Coogan,Family Animation Adventure Comedy,Family Animation Adventure Comedy Sandra Bullock Jon Hamm Michael Keaton Allison Janney Steve Coogan
inside out,Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black,Comedy Animation Family,Comedy Animation Family Amy Poehler Phyllis Smith Richard Kind Bill Hader Lewis Black
spectre,Daniel Craig Christoph Waltz LÃ©a Seydoux Ralph Fiennes Monica Bellucci,Action Adventure Crime,Action Adventure Crime Daniel Craig Christoph Waltz LÃ©a Seydoux Ralph Fiennes Monica Bellucci
jupiter ascending,Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth,Science Fiction Fantasy Action Adventure,Science Fiction Fantasy Action Adventure Mila Kunis Channing Tatum Sean Bean Eddie Redmayne Douglas Booth
ex machina,Domhnall Gleeson Alicia Vikander Oscar Isaac Sonoya Mizuno Corey Johnson,Drama Science Fiction,Drama Science Fiction Domhnall Gleeson Alicia Vikander Oscar Isaac Sonoya Mizuno Corey Johnson
pixels,Adam Sandler Michelle Monaghan Peter Dinklage Josh Gad Kevin James,Action Comedy Science Fiction,Action Comedy Science Fiction Adam Sandler Michelle Monaghan Peter Dinklage Josh Gad Kevin James
avengers: age of ultron,Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson,Action Adventure Science Fiction,Action Adventure Science Fiction Robert Downey Jr. Chris Hemsworth Mark Ruffalo Chris Evans Scarlett Johansson
the hateful eight,Samuel L. Jackson Kurt Russell Jennifer Jason Leigh Walton Goggins DemiÃ¡n Bichir,Crime Drama Mystery Western,Crime Drama Mystery Western Samuel L. Jackson Kurt Russell Jennifer Jason Leigh Walton Goggins DemiÃ¡n Bichir
taken 3,Liam Neeson Forest Whitaker Maggie Grace Famke Janssen Dougray Scott,Crime Action Thriller,Crime Action Thriller Liam Neeson Forest Whitaker Maggie Grace Famke Janssen Dougray Scott
ant-man,Paul Rudd Michael Douglas Evangeline Lilly Corey Stoll Bobby Cannavale,Science Fiction Action Adventure,Science Fiction Action Adventure Paul Rudd Michael Douglas Evangeline Lilly Corey Stoll Bobby Cannavale
cinderella,Lily James Cate Blanchett Richard Madden Helena Bonham Carter Holliday Grainger,Romance Fantasy Family Drama,Romance Fantasy Family Drama Lily James Cate Blanchett Richard Madden Helena Bonham Carter Holliday Grainger
the hunger games: mockingjay - part 2,Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks,War Adventure Science Fiction,War Adventure Science Fiction Jennifer Lawrence Josh Hutcherson Liam Hemsworth Woody Harrelson Elizabeth Banks
tomorrowland,Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie,Action Family Science Fiction Adventure Mystery,Action Family Science Fiction Adventure Mystery Britt Robertson George Clooney Raffey Cassidy Thomas Robinson Hugh Laurie
southpaw,Jake Gyllenhaal Rachel McAdams Forest Whitaker Oona Laurence 50 Cent,Action Drama,Action Drama Jake Gyllenhaal Rachel McAdams Forest Whitaker Oona Laurence 50 Cent
san andreas,Dwayne Johnson Alexandra Daddario Carla Gugino Ioan Gruffudd Archie Panjabi,Action Drama Thriller,Action Drama Thriller Dwayne Johnson Alexandra Daddario Carla Gugino Ioan Gruffudd Archie Panjabi
fifty shades of grey,Dakota Johnson Jamie Dornan Jennifer Ehle Eloise Mumford Victor Rasuk,Drama Romance,Drama Romance Dakota Johnson Jamie Dornan Jennifer Ehle Eloise Mumford Victor Rasuk
the big short,Christian Bale Steve Carell Ryan Gosling Brad Pitt Melissa Leo,Comedy Drama,Comedy Drama Christian Bale Steve Carell Ryan Gosling Brad Pitt Melissa Leo
mission: impossible - rogue nation,Tom Cruise Jeremy Renner Simon Pegg Rebecca Ferguson Ving Rhames,Action,Action Tom Cruise Jeremy Renner Simon Pegg Rebecca Ferguson Ving Rhames
ted 2,Mark Wahlberg Seth MacFarlane Amanda Seyfried Jessica Barth Giovanni Ribisi,Comedy,Comedy Mark Wahlberg Seth MacFarlane Amanda Seyfried Jessica Barth Giovanni Ribisi
kingsman: the secret service,Taron Egerton Colin Firth Samuel L. Jackson Michael Caine Mark Strong,Crime Comedy Action Adventure,Crime Comedy Action Adventure Taron Egerton Colin Firth Samuel L. Jackson Michael Caine Mark Strong
spotlight,Mark Ruffalo Michael Keaton Rachel McAdams Liev Schreiber John Slattery,Drama Thriller History,Drama Thriller History Mark Ruffalo Michael Keaton Rachel McAdams Liev Schreiber John Slattery
maze runner: the scorch trials,Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Giancarlo Esposito Aidan Gillen,Action Science Fiction Thriller,Action Science Fiction Thriller Dylan O'Brien Kaya Scodelario Thomas Brodie-Sangster Giancarlo Esposito Aidan Gillen
mr. holmes,Ian McKellen Milo Parker Laura Linney Hattie Morahan Patrick Kennedy,Mystery Drama,Mystery Drama Ian McKellen Milo Parker Laura Linney Hattie Morahan Patrick Kennedy
chappie,Sharlto Copley Dev Patel Ninja Yolandi Visser Jose Pablo Cantillo,Crime Action Science Fiction,Crime Action Science Fiction Sharlto Copley Dev Patel Ninja Yolandi Visser Jose Pablo Cantillo
pitch perfect 2,Anna Kendrick Rebel Wilson Hailee Steinfeld Brittany Snow Skylar Astin,Comedy Music,Comedy Music Anna Kendrick Rebel Wilson Hailee Steinfeld Brittany Snow Skylar Astin
bridge of spies,Tom Hanks Mark Rylance Amy Ryan Alan Alda Sebastian Koch,Thriller Drama,Thriller Drama Tom Hanks Mark Rylance Amy Ryan Alan Alda Sebastian Koch
goosebumps,Jack Black Dylan Minnette Odeya Rush Amy Ryan Jillian Bell,Adventure Horror Comedy,Adventure Horror Comedy Jack Black Dylan Minnette Odeya Rush Amy Ryan Jillian Bell
room,Brie Larson Jacob Tremblay Joan Allen Sean Bridgers William H. Macy,Drama Thriller,Drama Thriller Brie Larson Jacob Tremblay Joan Allen Sean Bridgers William H. Macy
solace,Abbie Cornish Jeffrey Dean Morgan Colin Farrell Anthony Hopkins Marley Shelton,Crime Drama Mystery,Crime Drama Mystery Abbie Cornish Jeffrey Dean Morgan Colin Farrell Anthony Hopkins Marley Shelton
the good dinosaur,Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla,Adventure Animation Comedy Family Fantasy,Adventure Animation Comedy Family Fantasy Raymond Ochoa Jack Bright Jeffrey Wright Frances McDormand Maleah Nipay-Padilla
run all night,Liam Neeson Ed Harris Joel Kinnaman Boyd Holbrook Bruce McGill,Action Crime Drama Mystery Thriller,Action Crime Drama Mystery Thriller Liam Neeson Ed Harris Joel Kinnaman Boyd Holbrook Bruce McGill
brooklyn,Saoirse Ronan Domhnall Gleeson Emory Cohen Emily Bett Rickards Eileen O'Higgins,Drama Romance,Drama Romance Saoirse Ronan Domhnall Gleeson Emory Cohen Emily Bett Rickards Eileen O'Higgins
straight outta compton,O'Shea Jackson Jr. Corey Hawkins Jason Mitchell Neil Brown Jr. Aldis Hodge,Drama Music,Drama Music O'Shea Jackson Jr. Corey Hawkins Jason Mitchell Neil Brown Jr. Aldis Hodge
the last witch hunter,Vin Diesel Rose Leslie Michael Caine Elijah Wood Ã“lafur Darri Ã“lafsson,Fantasy Action Adventure,Fantasy Action Adventure Vin Diesel Rose Leslie Michael Caine Elijah Wood Ã“lafur Darri Ã“lafsson
steve jobs,Michael Fassbender Kate Winslet Seth Rogen Katherine Waterston Jeff Daniels,History Drama,History Drama Michael Fassbender Kate Winslet Seth Rogen Katherine Waterston Jeff Daniels
the man from u.n.c.l.e.,Henry Cavill Armie Hammer Alicia Vikander Elizabeth Debicki Luca Calvani,Comedy Action Adventure,Comedy Action Adventure Henry Cavill Armie Hammer Alicia Vikander Elizabeth Debicki Luca Calvani
the age of adaline,Blake Lively Michiel Huisman Harrison Ford Ellen Burstyn Kathy Baker,Fantasy Drama Romance,Fantasy Drama Romance Blake Lively Michiel Huisman Harrison Ford Ellen Burstyn Kathy Baker
hardcore henry,Sharlto Copley Haley Bennett Danila Kozlovskiy Tim Roth Andrei Dementiev,Action Adventure Science Fiction,Action Adventure Science Fiction Sharlto Copley Haley Bennett Danila Kozlovskiy Tim Roth Andrei Dementiev
home,Jim Parsons Rihanna Steve Martin Jennifer Lopez Matt Jones,Fantasy Comedy Animation Science Fiction Family,Fantasy Comedy Animation Science Fiction Family Jim Parsons Rihanna Steve Martin Jennifer Lopez Matt Jones
paper towns,Nat Wolff Cara Delevingne Halston Sage Justice Smith Austin Abrams,Drama Mystery Romance,Drama Mystery Romance Nat Wolff Cara Delevingne Halston Sage Justice Smith Austin Abrams
wild card,Jason Statham Michael Angarano Milo Ventimiglia Dominik GarcÃ­a-Lorido Anne Heche,Thriller Crime Drama,Thriller Crime Drama Jason Statham Michael Angarano Milo Ventimiglia Dominik GarcÃ­a-Lorido Anne Heche
the lobster,Colin Farrell Rachel Weisz LÃ©a Seydoux John C. Reilly Ben Whishaw,Thriller Comedy Drama Romance Science Fiction,Thriller Comedy Drama Romance Science Fiction Colin Farrell Rachel Weisz LÃ©a Seydoux John C. Reilly Ben Whishaw
carol,Cate Blanchett Rooney Mara Kyle Chandler Sarah Paulson Jake Lacy,Romance Drama,Romance Drama Cate Blanchett Rooney Mara Kyle Chandler Sarah Paulson Jake Lacy
the intern,Robert De Niro Anne Hathaway Rene Russo Anders Holm JoJo Kushner,Comedy,Comedy Robert De Niro Anne Hathaway Rene Russo Anders Holm JoJo Kushner
everest,Jason Clarke Jake Gyllenhaal Josh Brolin John Hawkes Sam Worthington,Adventure Drama,Adventure Drama Jason Clarke Jake Gyllenhaal Josh Brolin John Hawkes Sam Worthington
joy,Jennifer Lawrence Bradley Cooper Robert De Niro Dascha Polanco Edgar RamÃ­rez,Comedy Drama,Comedy Drama Jennifer Lawrence Bradley Cooper Robert De Niro Dascha Polanco Edgar RamÃ­rez
point break,Edgar RamÃ­rez Luke Bracey Teresa Palmer Delroy Lindo Ray Winstone,Action Crime Thriller,Action Crime Thriller Edgar RamÃ­rez Luke Bracey Teresa Palmer Delroy Lindo Ray Winstone
burnt,Bradley Cooper Sienna Miller Lily James Alicia Vikander Uma Thurman,Drama,Drama Bradley Cooper Sienna Miller Lily James Alicia Vikander Uma Thurman
self/less,Ryan Reynolds Ben Kingsley Natalie Martinez Matthew Goode Michelle Dockery,Science Fiction Mystery Thriller,Science Fiction Mystery Thriller Ryan Reynolds Ben Kingsley Natalie Martinez Matthew Goode Michelle Dockery
mortdecai,Johnny Depp Gwyneth Paltrow Ewan McGregor Paul Bettany Olivia Munn,Comedy Adventure,Comedy Adventure Johnny Depp Gwyneth Paltrow Ewan McGregor Paul Bettany Olivia Munn
the danish girl,Eddie Redmayne Alicia Vikander Matthias Schoenaerts Amber Heard Ben Whishaw,Drama,Drama Eddie Redmayne Alicia Vikander Matthias Schoenaerts Amber Heard Ben Whishaw
blackhat,Chris Hemsworth Leehom Wang Tang Wei Viola Davis Holt McCallany,Mystery Crime Action Thriller Drama,Mystery Crime Action Thriller Drama Chris Hemsworth Leehom Wang Tang Wei Viola Davis Holt McCallany
sicario,Emily Blunt Benicio del Toro Josh Brolin Victor Garber Jon Bernthal,Action Crime Drama Mystery Thriller,Action Crime Drama Mystery Thriller Emily Blunt Benicio del Toro Josh Brolin Victor Garber Jon Bernthal
fantastic four,Miles Teller Kate Mara Michael B. Jordan Jamie Bell Toby Kebbell,Action Adventure Science Fiction,Action Adventure Science Fiction Miles Teller Kate Mara Michael B. Jordan Jamie Bell Toby Kebbell
the witch,Anya Taylor-Joy Ralph Ineson Kate Dickie Harvey Scrimshaw Ellie Grainger,Mystery Horror,Mystery Horror Anya Taylor-Joy Ralph Ineson Kate Dickie Harvey Scrimshaw Ellie Grainger
spy,Melissa McCarthy Jason Statham Rose Byrne Miranda Hart Bobby Cannavale,Action Comedy Crime,Action Comedy Crime Melissa McCarthy Jason Statham Rose Byrne Miranda Hart Bobby Cannavale
focus,Will Smith Margot Robbie Rodrigo Santoro Robert Taylor Gerald McRaney,Romance Comedy Crime Drama,Romance Comedy Crime Drama Will Smith Margot Robbie Rodrigo Santoro Robert Taylor Gerald McRaney
hitman: agent 47,Rupert Friend Zachary Quinto Hannah Ware Emilio Rivera Rolf Kanies,Action Crime Thriller,Action Crime Thriller Rupert Friend Zachary Quinto Hannah Ware Emilio Rivera Rolf Kanies
in the heart of the sea,Chris Hemsworth Benjamin Walker Cillian Murphy Brendan Gleeson Ben Whishaw,Thriller Drama Adventure Action History,Thriller Drama Adventure Action History Chris Hemsworth Benjamin Walker Cillian Murphy Brendan Gleeson Ben Whishaw
survivor,Pierce Brosnan Milla Jovovich Dylan McDermott Angela Bassett Robert Forster,Crime Thriller Action,Crime Thriller Action Pierce Brosnan Milla Jovovich Dylan McDermott Angela Bassett Robert Forster
creed,Michael B. Jordan Sylvester Stallone Graham McTavish Tessa Thompson Phylicia RashÄd,Drama,Drama Michael B. Jordan Sylvester Stallone Graham McTavish Tessa Thompson Phylicia RashÄd
trainwreck,Amy Schumer Bill Hader Brie Larson Colin Quinn Vanessa Bayer,Comedy,Comedy Amy Schumer Bill Hader Brie Larson Colin Quinn Vanessa Bayer
eye in the sky,Helen Mirren Aaron Paul Alan Rickman Iain Glen Barkhad Abdi,Drama Thriller War,Drama Thriller War Helen Mirren Aaron Paul Alan Rickman Iain Glen Barkhad Abdi
legend,Tom Hardy Emily Browning Christopher Eccleston David Thewlis Taron Egerton,Crime Thriller,Crime Thriller Tom Hardy Emily Browning Christopher Eccleston David Thewlis Taron Egerton
beyond the reach,Michael Douglas Jeremy Irvine Hanna Mangan Lawrence Ronny Cox Martin Palmer,Thriller,Thriller Michael Douglas Jeremy Irvine Hanna Mangan Lawrence Ronny Cox Martin Palmer
pan,Levi Miller Garrett Hedlund Hugh Jackman Rooney Mara Amanda Seyfried,Adventure Family Fantasy,Adventure Family Fantasy Levi Miller Garrett Hedlund Hugh Jackman Rooney Mara Amanda Seyfried
mythica: the darkspore,Melanie Stone Kevin Sorbo Adam Johnson Jake Stormoen Rocky Myers,Action Adventure Fantasy,Action Adventure Fantasy Melanie Stone Kevin Sorbo Adam Johnson Jake Stormoen Rocky Myers
me and earl and the dying girl,Thomas Mann RJ Cyler Olivia Cooke Connie Britton Nick Offerman,Comedy Drama,Comedy Drama Thomas Mann RJ Cyler Olivia Cooke Connie Britton Nick Offerman
the peanuts movie,Noah Schnapp Bill Melendez Venus Schultheis Hadley Belle Miller Madisyn Shipman,Adventure Animation Comedy Family,Adventure Animation Comedy Family Noah Schnapp Bill Melendez Venus Schultheis Hadley Belle Miller Madisyn Shipman
concussion,Will Smith Bitsie Tulloch Gugu Mbatha-Raw Alec Baldwin Matthew Willig,Drama,Drama Will Smith Bitsie Tulloch Gugu Mbatha-Raw Alec Baldwin Matthew Willig
the night before,Joseph Gordon-Levitt Seth Rogen Anthony Mackie Lizzy Caplan Jillian Bell,Comedy,Comedy Joseph Gordon-Levitt Seth Rogen Anthony Mackie Lizzy Caplan Jillian Bell
knock knock,Keanu Reeves Lorenza Izzo Ana de Armas Aaron Burns Colleen Camp,Drama Horror Thriller,Drama Horror Thriller Keanu Reeves Lorenza Izzo Ana de Armas Aaron Burns Colleen Camp
the longest ride,Scott Eastwood Britt Robertson Lolita Davidovich Melissa Benoist Jack Huston,Romance Drama,Romance Drama Scott Eastwood Britt Robertson Lolita Davidovich Melissa Benoist Jack Huston
hotel transylvania 2,Adam Sandler Andy Samberg Selena Gomez Kevin James Steve Buscemi,Animation Comedy Family,Animation Comedy Family Adam Sandler Andy Samberg Selena Gomez Kevin James Steve Buscemi
love the coopers,Steve Martin Diane Keaton John Goodman Alan Arkin Olivia Wilde,Family Comedy,Family Comedy Steve Martin Diane Keaton John Goodman Alan Arkin Olivia Wilde
the walk,Joseph Gordon-Levitt Ben Kingsley Charlotte Le Bon Ben Schwartz James Badge Dale,Adventure Drama Thriller,Adventure Drama Thriller Joseph Gordon-Levitt Ben Kingsley Charlotte Le Bon Ben Schwartz James Badge Dale
tracers,Marie Avgeropoulos Taylor Lautner Adam Rayner Rafi Gavron Sam Medina,Action Crime Drama,Action Crime Drama Marie Avgeropoulos Taylor Lautner Adam Rayner Rafi Gavron Sam Medina
vacation,Ed Helms Christina Applegate Skyler Gisondo Steele Stebbins Chris Hemsworth,Adventure Comedy,Adventure Comedy Ed Helms Christina Applegate Skyler Gisondo Steele Stebbins Chris Hemsworth
poltergeist,Sam Rockwell Rosemarie DeWitt Saxon Sharbino Kyle Catlett Kennedi Clements,Horror Thriller,Horror Thriller Sam Rockwell Rosemarie DeWitt Saxon Sharbino Kyle Catlett Kennedi Clements
maggie,Arnold Schwarzenegger Abigail Breslin Joely Richardson Laura Cayouette J.D. Evermore,Horror,Horror Arnold Schwarzenegger Abigail Breslin Joely Richardson Laura Cayouette J.D. Evermore
equals,Kristen Stewart Nicholas Hoult Guy Pearce Jacki Weaver Bel Powley,Drama Romance Science Fiction,Drama Romance Science Fiction Kristen Stewart Nicholas Hoult Guy Pearce Jacki Weaver Bel Powley
child 44,Tom Hardy Gary Oldman Noomi Rapace Joel Kinnaman Paddy Considine,Crime Thriller,Crime Thriller Tom Hardy Gary Oldman Noomi Rapace Joel Kinnaman Paddy Considine
the gift,Jason Bateman Rebecca Hall Joel Edgerton David Denman Beau Knapp,Thriller Mystery,Thriller Mystery Jason Bateman Rebecca Hall Joel Edgerton David Denman Beau Knapp
daddy's home,Will Ferrell Mark Wahlberg Linda Cardellini Thomas Haden Church Hannibal Buress,Comedy,Comedy Will Ferrell Mark Wahlberg Linda Cardellini Thomas Haden Church Hannibal Buress
mythica: the necromancer,Melanie Stone Adam Johnson Kevin Sorbo Nicola Posener Jake Stormoen,Fantasy Action Adventure,Fantasy Action Adventure Melanie Stone Adam Johnson Kevin Sorbo Nicola Posener Jake Stormoen
vice,Ambyr Childers Thomas Jane Bryan Greenberg Bruce Willis Johnathon Schaech,Thriller Science Fiction Action Adventure,Thriller Science Fiction Action Adventure Ambyr Childers Thomas Jane Bryan Greenberg Bruce Willis Johnathon Schaech
the little prince,Jeff Bridges Rachel McAdams Paul Rudd Marion Cotillard James Franco,Adventure Animation Fantasy,Adventure Animation Fantasy Jeff Bridges Rachel McAdams Paul Rudd Marion Cotillard James Franco
alvin and the chipmunks: the road chip,Jason Lee Justin Long Bella Thorne Matthew Gray Gubler Jesse McCartney,Adventure Animation Comedy Family,Adventure Animation Comedy Family Jason Lee Justin Long Bella Thorne Matthew Gray Gubler Jesse McCartney
the dressmaker,Kate Winslet Liam Hemsworth Caroline Goodall Judy Davis Hayley Magnus,Drama,Drama Kate Winslet Liam Hemsworth Caroline Goodall Judy Davis Hayley Magnus
the duff,Mae Whitman Robbie Amell Bella Thorne Bianca A. Santos Skyler Samuels,Romance Comedy,Romance Comedy Mae Whitman Robbie Amell Bella Thorne Bianca A. Santos Skyler Samuels
sinister 2,Shannyn Sossamon James Ransone Tate Ellington Nicholas King Lucas Jade Zumann,Horror,Horror Shannyn Sossamon James Ransone Tate Ellington Nicholas King Lucas Jade Zumann
paul blart: mall cop 2,Kevin James Raini Rodriguez Eduardo VerÃ¡stegui Daniella Alonso Neal McDonough,Action Adventure Comedy Family,Action Adventure Comedy Family Kevin James Raini Rodriguez Eduardo VerÃ¡stegui Daniella Alonso Neal McDonough
frozen fever,Kristen Bell Idina Menzel Jonathan Groff Josh Gad Chris Williams,Adventure Animation Family,Adventure Animation Family Kristen Bell Idina Menzel Jonathan Groff Josh Gad Chris Williams
high-rise,Tom Hiddleston Sienna Miller Jeremy Irons Luke Evans Elisabeth Moss,Action Drama Science Fiction,Action Drama Science Fiction Tom Hiddleston Sienna Miller Jeremy Irons Luke Evans Elisabeth Moss
the boy next door,Jennifer Lopez Ryan Guzman Ian Nelson John Corbett Kristin Chenoweth,Thriller,Thriller Jennifer Lopez Ryan Guzman Ian Nelson John Corbett Kristin Chenoweth
spooks: the greater good,Peter Firth Kit Harington Jennifer Ehle Lara Pulver Elyes Gabel,Thriller Action,Thriller Action Peter Firth Kit Harington Jennifer Ehle Lara Pulver Elyes Gabel
entourage,Jeremy Piven Adrian Grenier Jerry Ferrara Kevin Connolly Kevin Dillon,Comedy,Comedy Jeremy Piven Adrian Grenier Jerry Ferrara Kevin Connolly Kevin Dillon
the wedding ringer,Kevin Hart Josh Gad Kaley Cuoco Affion Crockett Jorge Garcia,Comedy,Comedy Kevin Hart Josh Gad Kaley Cuoco Affion Crockett Jorge Garcia
scouts guide to the zombie apocalypse,Tye Sheridan Logan Miller Joey Morgan Sarah Dumont David Koechner,Comedy Horror,Comedy Horror Tye Sheridan Logan Miller Joey Morgan Sarah Dumont David Koechner
the visit,Olivia DeJonge Ed Oxenbould Kathryn Hahn Benjamin Kanes Deanna Dunagan,Horror Thriller,Horror Thriller Olivia DeJonge Ed Oxenbould Kathryn Hahn Benjamin Kanes Deanna Dunagan
black mass,Johnny Depp Joel Edgerton Benedict Cumberbatch Dakota Johnson Kevin Bacon,Crime Drama,Crime Drama Johnny Depp Joel Edgerton Benedict Cumberbatch Dakota Johnson Kevin Bacon
heist,Jeffrey Dean Morgan Robert De Niro Kate Bosworth Dave Bautista Gina Carano,Crime Action Thriller,Crime Action Thriller Jeffrey Dean Morgan Robert De Niro Kate Bosworth Dave Bautista Gina Carano
krampus,Adam Scott Toni Collette Allison Tolman David Koechner Emjay Anthony,Horror Comedy Fantasy,Horror Comedy Fantasy Adam Scott Toni Collette Allison Tolman David Koechner Emjay Anthony
dark places,Charlize Theron Nicholas Hoult Christina Hendricks ChloÃ« Grace Moretz Tye Sheridan,Drama Mystery Thriller,Drama Mystery Thriller Charlize Theron Nicholas Hoult Christina Hendricks ChloÃ« Grace Moretz Tye Sheridan
no escape,Owen Wilson Lake Bell Pierce Brosnan Sterling Jerins Spencer Garrett,Action Thriller,Action Thriller Owen Wilson Lake Bell Pierce Brosnan Sterling Jerins Spencer Garrett
dope,Shameik Moore Kiersey Clemons Tony Revolori ZoÃ« Kravitz Chanel Iman,Crime Drama Comedy,Crime Drama Comedy Shameik Moore Kiersey Clemons Tony Revolori ZoÃ« Kravitz Chanel Iman
american ultra,Jesse Eisenberg Kristen Stewart Topher Grace Connie Britton Walton Goggins,Comedy Action,Comedy Action Jesse Eisenberg Kristen Stewart Topher Grace Connie Britton Walton Goggins
woman in gold,Helen Mirren Ryan Reynolds Tatiana Maslany Katie Holmes Max Irons,Drama,Drama Helen Mirren Ryan Reynolds Tatiana Maslany Katie Holmes Max Irons
the scorpion king: the lost throne,Victor Webster Ellen Hollman Barry Bostwick Will Kemp M. Emmet Walsh,Action Fantasy Adventure,Action Fantasy Adventure Victor Webster Ellen Hollman Barry Bostwick Will Kemp M. Emmet Walsh
sisters,Tina Fey Amy Poehler John Leguizamo Ike Barinholtz Maya Rudolph,Comedy,Comedy Tina Fey Amy Poehler John Leguizamo Ike Barinholtz Maya Rudolph
project almanac,Jonny Weston Virginia Gardner Sofia Black-D'Elia Sam Lerner Allen Evangelista,Science Fiction Thriller,Science Fiction Thriller Jonny Weston Virginia Gardner Sofia Black-D'Elia Sam Lerner Allen Evangelista
absolutely anything,Simon Pegg Kate Beckinsale Rob Riggle Sanjeev Bhaskar Joanna Lumley,Comedy Science Fiction,Comedy Science Fiction Simon Pegg Kate Beckinsale Rob Riggle Sanjeev Bhaskar Joanna Lumley
the transporter refueled,Ed Skrein Ray Stevenson Loan Chabanol Gabriella Wright Tatjana PajkoviÄ‡,Thriller Action Crime,Thriller Action Crime Ed Skrein Ray Stevenson Loan Chabanol Gabriella Wright Tatjana PajkoviÄ‡
crimson peak,Mia Wasikowska Jessica Chastain Tom Hiddleston Charlie Hunnam Jim Beaver,Mystery Thriller Fantasy Horror Drama,Mystery Thriller Fantasy Horror Drama Mia Wasikowska Jessica Chastain Tom Hiddleston Charlie Hunnam Jim Beaver
everly,Salma Hayek Hiroyuki Watanabe Jennifer Blanc Togo Igawa Caroline Chikezie,Thriller Action,Thriller Action Salma Hayek Hiroyuki Watanabe Jennifer Blanc Togo Igawa Caroline Chikezie
magic mike xxl,Channing Tatum Matt Bomer Joe Manganiello Kevin Nash Adam RodrÃ­guez,Comedy Drama Music,Comedy Drama Music Channing Tatum Matt Bomer Joe Manganiello Kevin Nash Adam RodrÃ­guez
paranormal activity: the ghost dimension,Chris J. Murray Brit Shaw Ivy George Lauren Frandsen Tyler Craig,Horror Thriller,Horror Thriller Chris J. Murray Brit Shaw Ivy George Lauren Frandsen Tyler Craig
slow west,Michael Fassbender Kodi Smit-McPhee Ben Mendelsohn Caren Pistorius Rory McCann,Romance Thriller Western,Romance Thriller Western Michael Fassbender Kodi Smit-McPhee Ben Mendelsohn Caren Pistorius Rory McCann
trumbo,Bryan Cranston Diane Lane Helen Mirren Elle Fanning Louis C.K.,Drama,Drama Bryan Cranston Diane Lane Helen Mirren Elle Fanning Louis C.K.
secret in their eyes,Chiwetel Ejiofor Nicole Kidman Julia Roberts Dean Norris Lyndon Smith,Crime Drama Mystery,Crime Drama Mystery Chiwetel Ejiofor Nicole Kidman Julia Roberts Dean Norris Lyndon Smith
mistress america,Greta Gerwig Lola Kirke Charlie Gillette Dean Wareham Heather Lind,Comedy,Comedy Greta Gerwig Lola Kirke Charlie Gillette Dean Wareham Heather Lind
the spongebob movie: sponge out of water,Tom Kenny Bill Fagerbakke Rodger Bumpass Clancy Brown Carolyn Lawrence,Family Animation,Family Animation Tom Kenny Bill Fagerbakke Rodger Bumpass Clancy Brown Carolyn Lawrence
true story,Jonah Hill James Franco Felicity Jones Maria Dizzia Ethan Suplee,Crime Drama Mystery,Crime Drama Mystery Jonah Hill James Franco Felicity Jones Maria Dizzia Ethan Suplee
