title,cast,genres,combined
death wish 5: the face of death,Charles Bronson Lesley-Anne Down Michael Parks Chuck Shamata Robert Joy,Action Crime Drama Thriller,Action Crime Drama Thriller Charles Bronson Lesley-Anne Down Michael Parks Chuck Shamata Robert Joy
lightning jack,Paul Hogan Beverly D'Angelo Cuba Gooding Jr. Pat Hingle Richard Riehle,Action Comedy Western,Action Comedy Western Paul Hogan Beverly D'Angelo Cuba Gooding Jr. Pat Hingle Richard Riehle
immortal beloved,Gary Oldman Jeroen KrabbÃ© Isabella Rossellini Johanna ter Steege Marco Hofschneider,Drama Music Romance,Drama Music Romance Gary Oldman Jeroen KrabbÃ© Isabella Rossellini Johanna ter Steege Marco Hofschneider
don juan demarco,Johnny Depp Marlon Brando Faye Dunaway GÃ©raldine Pailhas Bob Dishy,Romance Drama Comedy,Romance Drama Comedy Johnny Depp Marlon Brando Faye Dunaway GÃ©raldine Pailhas Bob Dishy
bad girls,Madeleine Stowe Mary Stuart Masterson Andie MacDowell Drew Barrymore James Russo,Action Adventure Comedy Drama Western,Action Adventure Comedy Drama Western Madeleine Stowe Mary Stuart Masterson Andie MacDowell Drew Barrymore James Russo
i love trouble,Nick Nolte Saul Rubinek James Rebhorn Julia Roberts Robert Loggia,Action Comedy Romance,Action Comedy Romance Nick Nolte Saul Rubinek James Rebhorn Julia Roberts Robert Loggia
riget,Udo Kier Ernst-Hugo JÃ¤regÃ¥rd Laura Christensen Baard Owe Kirsten Rolffes,Horror Mystery,Horror Mystery Udo Kier Ernst-Hugo JÃ¤regÃ¥rd Laura Christensen Baard Owe Kirsten Rolffes
the little rascals,Travis Tedford Kevin Jamal Woods Jordan Warkol Zachary Mabry Ross Bagley,Romance Comedy Family,Romance Comedy Family Travis Tedford Kevin Jamal Woods Jordan Warkol Zachary Mabry Ross Bagley
kickboxer 4: the aggressor,Sasha Mitchell Nicholas Guest Michele Krasnoo Brad Thornton Deborah Mansy,Drama Action Thriller Romance,Drama Action Thriller Romance Sasha Mitchell Nicholas Guest Michele Krasnoo Brad Thornton Deborah Mansy
leprechaun 2,Warwick Davis Charlie Heath Shevonne Durkin Sandy Baron Clint Howard,Comedy Horror,Comedy Horror Warwick Davis Charlie Heath Shevonne Durkin Sandy Baron Clint Howard
spanking the monkey,Jeremy Davies Benjamin Hendrickson Alberta Watson Carla Gallo Matthew Puckett,Comedy Drama,Comedy Drama Jeremy Davies Benjamin Hendrickson Alberta Watson Carla Gallo Matthew Puckett
s.f.w.,Stephen Dorff Reese Witherspoon Jake Busey Joey Lauren Adams Pamela Gidley,Comedy Drama,Comedy Drama Stephen Dorff Reese Witherspoon Jake Busey Joey Lauren Adams Pamela Gidley
baby's day out,Joe Mantegna Lara Flynn Boyle Joe Pantoliano Brian Haley Cynthia Nixon,Action Adventure Comedy Family,Action Adventure Comedy Family Joe Mantegna Lara Flynn Boyle Joe Pantoliano Brian Haley Cynthia Nixon
texas chainsaw massacre: the next generation,RenÃ©e Zellweger Matthew McConaughey Robert Jacks Tonie Perensky Joe Stevens,Comedy Horror Thriller,Comedy Horror Thriller RenÃ©e Zellweger Matthew McConaughey Robert Jacks Tonie Perensky Joe Stevens
my girl 2,Dan Aykroyd Jamie Lee Curtis Anna Chlumsky Austin O'Brien Richard Masur,Comedy Drama Family Romance,Comedy Drama Family Romance Dan Aykroyd Jamie Lee Curtis Anna Chlumsky Austin O'Brien Richard Masur
surviving the game,Ice-T Rutger Hauer Charles S. Dutton Gary Busey John C. McGinley,Action Adventure Thriller Crime,Action Adventure Thriller Crime Ice-T Rutger Hauer Charles S. Dutton Gary Busey John C. McGinley
camp nowhere,Jonathan Jackson Christopher Lloyd Melody Kay Andrew Keegan Marnette Patterson,Comedy Drama Family,Comedy Drama Family Jonathan Jackson Christopher Lloyd Melody Kay Andrew Keegan Marnette Patterson
the river wild,Meryl Streep David Strathairn Joseph Mazzello Kevin Bacon John C. Reilly,Adventure Action Thriller Crime,Adventure Action Thriller Crime Meryl Streep David Strathairn Joseph Mazzello Kevin Bacon John C. Reilly
intersection,Richard Gere Sharon Stone Lolita Davidovich Martin Landau Jennifer Morrison,Drama Romance,Drama Romance Richard Gere Sharon Stone Lolita Davidovich Martin Landau Jennifer Morrison
little odessa,Edward Furlong Tim Roth Moira Kelly Vanessa Redgrave Paul Guilfoyle,Drama Action,Drama Action Edward Furlong Tim Roth Moira Kelly Vanessa Redgrave Paul Guilfoyle
cops & robbersons,Chevy Chase Jack Palance Dianne Wiest Robert Davi David Barry Gray,Action Comedy Family,Action Comedy Family Chevy Chase Jack Palance Dianne Wiest Robert Davi David Barry Gray
fatherland,Rutger Hauer Miranda Richardson Peter Vaughan Michael Kitchen Jean Marsh,Drama Thriller Action,Drama Thriller Action Rutger Hauer Miranda Richardson Peter Vaughan Michael Kitchen Jean Marsh
serial mom,Kathleen Turner Sam Waterston Ricki Lake Matthew Lillard Mink Stole,Crime Comedy Thriller,Crime Comedy Thriller Kathleen Turner Sam Waterston Ricki Lake Matthew Lillard Mink Stole
with honors,Joe Pesci Brendan Fraser Moira Kelly Patrick Dempsey Josh Hamilton,Comedy Drama,Comedy Drama Joe Pesci Brendan Fraser Moira Kelly Patrick Dempsey Josh Hamilton
3 ninjas kick back,Victor Wong Max Elliott Slade Sean Fox J. Evan Bonifant Caroline Junko King,Adventure Action Comedy Family,Adventure Action Comedy Family Victor Wong Max Elliott Slade Sean Fox J. Evan Bonifant Caroline Junko King
threesome,Josh Charles Stephen Baldwin Lara Flynn Boyle Alexis Arquette Martha Gehman,Comedy Drama Family Romance,Comedy Drama Family Romance Josh Charles Stephen Baldwin Lara Flynn Boyle Alexis Arquette Martha Gehman
the last seduction,Linda Fiorentino Bill Pullman Peter Berg J. T. Walsh Bill Nunn,Thriller Mystery Romance,Thriller Mystery Romance Linda Fiorentino Bill Pullman Peter Berg J. T. Walsh Bill Nunn
iron will,Mackenzie Astin Kevin Spacey Brian Cox David Ogden Stiers George Gerdes,Adventure Drama Family,Adventure Drama Family Mackenzie Astin Kevin Spacey Brian Cox David Ogden Stiers George Gerdes
andre,Tina Majorino Keith Carradine Chelsea Field Keith Szarabajka Joshua Jackson,Drama Family Adventure,Drama Family Adventure Tina Majorino Keith Carradine Chelsea Field Keith Szarabajka Joshua Jackson
monkey trouble,Thora Birch Harvey Keitel Mimi Rogers Christopher McDonald Robert Miranda,Comedy Family,Comedy Family Thora Birch Harvey Keitel Mimi Rogers Christopher McDonald Robert Miranda
a simple twist of fate,Steve Martin Gabriel Byrne Laura Linney Catherine O'Hara Stephen Baldwin,Drama Family,Drama Family Steve Martin Gabriel Byrne Laura Linney Catherine O'Hara Stephen Baldwin
the war,Elijah Wood Kevin Costner Mare Winningham Lexi Randall LaToya Chisholm,Drama,Drama Elijah Wood Kevin Costner Mare Winningham Lexi Randall LaToya Chisholm
8 seconds,Luke Perry Stephen Baldwin Cynthia Geary James Rebhorn Carrie Snodgress,Drama Romance,Drama Romance Luke Perry Stephen Baldwin Cynthia Geary James Rebhorn Carrie Snodgress
blankman,Damon Wayans David Alan Grier Robin Givens Christopher Lawford Jason Alexander,Action Adventure Comedy,Action Adventure Comedy Damon Wayans David Alan Grier Robin Givens Christopher Lawford Jason Alexander
the scout,Brendan Fraser Albert Brooks Dianne Wiest Anne Twomey Lane Smith,Comedy Drama,Comedy Drama Brendan Fraser Albert Brooks Dianne Wiest Anne Twomey Lane Smith
the puppet masters,Donald Sutherland Eric Thal Julie Warner Keith David Will Patton,Horror Science Fiction Thriller,Horror Science Fiction Thriller Donald Sutherland Eric Thal Julie Warner Keith David Will Patton
ã‚´ã‚¸ãƒ©vsã‚¹ãƒšãƒ¼ã‚¹ã‚´ã‚¸ãƒ©,Megumi Odaka Jun Hashizume Zenkichi Yoneyama Akira Emoto Towako Yoshikawa,Action Adventure Horror Science Fiction Foreign,Action Adventure Horror Science Fiction Foreign Megumi Odaka Jun Hashizume Zenkichi Yoneyama Akira Emoto Towako Yoshikawa
